"Quarter","Origin","Arrivals"
4018,"Japan",14763
4108,"Japan",9321
4199,"Japan",10166
4291,"Japan",19509
4383,"Japan",17117
4473,"Japan",10617
4564,"Japan",11737
4656,"Japan",20961
4748,"Japan",20671
4838,"Japan",12235
4929,"Japan",14567
5021,"Japan",24363
5113,"Japan",23169
5204,"Japan",16296
5295,"Japan",18504
5387,"Japan",29938
5479,"Japan",30240
5569,"Japan",20280
5660,"Japan",20908
5752,"Japan",36169
5844,"Japan",37989
5934,"Japan",32366
6025,"Japan",28131
6117,"Japan",47150
6209,"Japan",51736
6299,"Japan",38254
6390,"Japan",53807
6482,"Japan",71807
6574,"Japan",80300
6665,"Japan",79596
6756,"Japan",88708
6848,"Japan",103738
6940,"Japan",94172
7030,"Japan",76462
7121,"Japan",88393
7213,"Japan",90527
7305,"Japan",119654
7395,"Japan",106965
7486,"Japan",128472
7578,"Japan",124773
7670,"Japan",119638
7760,"Japan",115049
7851,"Japan",140470
7943,"Japan",153436
8035,"Japan",166732
8126,"Japan",141886
8217,"Japan",160455
8309,"Japan",160807
8401,"Japan",178466
8491,"Japan",151904
8582,"Japan",168131
8674,"Japan",172358
8766,"Japan",191367
8856,"Japan",158207
8947,"Japan",183289
9039,"Japan",188273
9131,"Japan",196480
9221,"Japan",174307
9312,"Japan",214067
9404,"Japan",197850
9496,"Japan",227335
9587,"Japan",174325
9678,"Japan",219347
9770,"Japan",192137
9862,"Japan",223640
9952,"Japan",167269
10043,"Japan",227641
10135,"Japan",195350
10227,"Japan",205468
10317,"Japan",168520
10408,"Japan",200860
10500,"Japan",176235
10592,"Japan",193822
10682,"Japan",154860
10773,"Japan",188080
10865,"Japan",170689
10957,"Japan",192023
11048,"Japan",154701
11139,"Japan",182130
11231,"Japan",192135
11323,"Japan",193645
11413,"Japan",156303
11504,"Japan",186861
11596,"Japan",136748
11688,"Japan",177263
11778,"Japan",158357
11869,"Japan",183821
11961,"Japan",196006
12053,"Japan",176132
12143,"Japan",102633
12234,"Japan",156396
12326,"Japan",192591
12418,"Japan",185175
12509,"Japan",153363
12600,"Japan",181659
12692,"Japan",190143
12784,"Japan",193547
12874,"Japan",135461
12965,"Japan",176242
13057,"Japan",180085
13149,"Japan",189187
13239,"Japan",128919
13330,"Japan",163649
13422,"Japan",169314
13514,"Japan",165823
13604,"Japan",111484
13695,"Japan",149065
13787,"Japan",146673
13879,"Japan",136544
13970,"Japan",88879
14061,"Japan",121951
14153,"Japan",109858
14245,"Japan",106123
14335,"Japan",65748
14426,"Japan",88371
14518,"Japan",95214
14610,"Japan",109072
14700,"Japan",71253
14791,"Japan",117876
14883,"Japan",99987
14975,"Japan",92889
15065,"Japan",53397
15156,"Japan",96467
15248,"Japan",89900
15340,"Japan",98180
15431,"Japan",59760
15522,"Japan",101900
4018,"NZ",49140
4108,"NZ",87467
4199,"NZ",85841
4291,"NZ",61882
4383,"NZ",42045
4473,"NZ",63081
4564,"NZ",73275
4656,"NZ",54808
4748,"NZ",41030
4838,"NZ",56155
4929,"NZ",69395
5021,"NZ",58423
5113,"NZ",37039
5204,"NZ",71564
5295,"NZ",71260
5387,"NZ",54597
5479,"NZ",41646
5569,"NZ",63668
5660,"NZ",67803
5752,"NZ",72177
5844,"NZ",55192
5934,"NZ",89073
6025,"NZ",97746
6117,"NZ",94696
6209,"NZ",71130
6299,"NZ",111416
6390,"NZ",127619
6482,"NZ",117078
6574,"NZ",90498
6665,"NZ",135435
6756,"NZ",176899
6848,"NZ",131457
6940,"NZ",83029
7030,"NZ",111748
7121,"NZ",128509
7213,"NZ",126021
7305,"NZ",75584
7395,"NZ",109472
7486,"NZ",122164
7578,"NZ",111222
7670,"NZ",90067
7760,"NZ",114050
7851,"NZ",152662
7943,"NZ",123821
8035,"NZ",75376
8126,"NZ",107369
8217,"NZ",128550
8309,"NZ",136250
8401,"NZ",90758
8491,"NZ",124972
8582,"NZ",153153
8674,"NZ",130393
8766,"NZ",90095
8856,"NZ",113799
8947,"NZ",148605
9039,"NZ",127879
9131,"NZ",95295
9221,"NZ",130073
9312,"NZ",166383
9404,"NZ",146632
9496,"NZ",132410
9587,"NZ",166735
9678,"NZ",205120
9770,"NZ",167569
9862,"NZ",142502
9952,"NZ",160522
10043,"NZ",205250
10135,"NZ",177366
10227,"NZ",128179
10317,"NZ",184943
10408,"NZ",212263
10500,"NZ",183996
10592,"NZ",143015
10682,"NZ",179577
10773,"NZ",215732
10865,"NZ",190461
10957,"NZ",154537
11048,"NZ",212401
11139,"NZ",229048
11231,"NZ",221071
11323,"NZ",162480
11413,"NZ",215840
11504,"NZ",233074
11596,"NZ",203493
11688,"NZ",159879
11778,"NZ",191215
11869,"NZ",226008
11961,"NZ",213000
12053,"NZ",150700
12143,"NZ",203400
12234,"NZ",241800
12326,"NZ",243200
12418,"NZ",188873
12509,"NZ",252262
12600,"NZ",312956
12692,"NZ",278709
12784,"NZ",219527
12874,"NZ",270782
12965,"NZ",325633
13057,"NZ",282908
13149,"NZ",212323
13239,"NZ",269964
13330,"NZ",307149
13422,"NZ",286361
13514,"NZ",219885
13604,"NZ",301654
13695,"NZ",320737
13787,"NZ",295727
13879,"NZ",222770
13970,"NZ",282076
14061,"NZ",304979
14153,"NZ",303481
14245,"NZ",221287
14335,"NZ",275761
14426,"NZ",311431
14518,"NZ",301983
14610,"NZ",228162
14700,"NZ",281791
14791,"NZ",330812
14883,"NZ",320897
14975,"NZ",239103
15065,"NZ",292072
15156,"NZ",311994
15248,"NZ",329470
15340,"NZ",247910
15431,"NZ",301880
15522,"NZ",319840
4018,"UK",45266
4108,"UK",19886
4199,"UK",24839
4291,"UK",52264
4383,"UK",53636
4473,"UK",34802
4564,"UK",31126
4656,"UK",53619
4748,"UK",43423
4838,"UK",23421
4929,"UK",29142
5021,"UK",51771
5113,"UK",44182
5204,"UK",24920
5295,"UK",27566
5387,"UK",48880
5479,"UK",49563
5569,"UK",23867
5660,"UK",25895
5752,"UK",54092
5844,"UK",54903
5934,"UK",26089
6025,"UK",28248
6117,"UK",66813
6209,"UK",61167
6299,"UK",32400
6390,"UK",33287
6482,"UK",72115
6574,"UK",81925
6665,"UK",42091
6756,"UK",46253
6848,"UK",90062
6940,"UK",84191
7030,"UK",48709
7121,"UK",46905
7213,"UK",93075
7305,"UK",81185
7395,"UK",53693
7486,"UK",48037
7578,"UK",94827
7670,"UK",79365
7760,"UK",52961
7851,"UK",42366
7943,"UK",89041
8035,"UK",87850
8126,"UK",57261
8217,"UK",51058
8309,"UK",93736
8401,"UK",95137
8491,"UK",55661
8582,"UK",56400
8674,"UK",103089
8766,"UK",100250
8856,"UK",57464
8947,"UK",61831
9039,"UK",115736
9131,"UK",112684
9221,"UK",64209
9312,"UK",59287
9404,"UK",111719
9496,"UK",108173
9587,"UK",64632
9678,"UK",64742
9770,"UK",129994
9862,"UK",126261
9952,"UK",65146
10043,"UK",74071
10135,"UK",145139
10227,"UK",143115
10317,"UK",82747
10408,"UK",78303
10500,"UK",163356
10592,"UK",160239
10682,"UK",81152
10773,"UK",107941
10865,"UK",179102
10957,"UK",161953
11048,"UK",105394
11139,"UK",107231
11231,"UK",205874
11323,"UK",184901
11413,"UK",107454
11504,"UK",121889
11596,"UK",202988
11688,"UK",206655
11778,"UK",95564
11869,"UK",115950
11961,"UK",224496
12053,"UK",196276
12143,"UK",107563
12234,"UK",125171
12326,"UK",243894
12418,"UK",205423
12509,"UK",111924
12600,"UK",125132
12692,"UK",233761
12784,"UK",235242
12874,"UK",105370
12965,"UK",131141
13057,"UK",237053
13149,"UK",224933
13239,"UK",116211
13330,"UK",123808
13422,"UK",269292
13514,"UK",231686
13604,"UK",108543
13695,"UK",122734
13787,"UK",226031
13879,"UK",230109
13970,"UK",107430
14061,"UK",115758
14153,"UK",218864
14245,"UK",210109
14335,"UK",113973
14426,"UK",116517
14518,"UK",223178
14610,"UK",213568
14700,"UK",99497
14791,"UK",108208
14883,"UK",225395
14975,"UK",188560
15065,"UK",110212
15156,"UK",107089
15248,"UK",202240
15340,"UK",194640
15431,"UK",92970
15522,"UK",101690
4018,"US",32316
4108,"US",23721
4199,"US",24533
4291,"US",33438
4383,"US",33527
4473,"US",28366
4564,"US",30856
4656,"US",33293
4748,"US",32472
4838,"US",32369
4929,"US",37476
5021,"US",38112
5113,"US",42553
5204,"US",41277
5295,"US",33056
5387,"US",44472
5479,"US",47792
5569,"US",43070
5660,"US",41116
5752,"US",65428
5844,"US",59377
5934,"US",53283
6025,"US",48510
6117,"US",85878
6209,"US",84130
6299,"US",64346
6390,"US",65976
6482,"US",96165
6574,"US",78609
6665,"US",69306
6756,"US",86267
6848,"US",92738
6940,"US",73321
7030,"US",59819
7121,"US",60868
7213,"US",67761
7305,"US",67637
7395,"US",56153
7486,"US",58783
7578,"US",69018
7670,"US",63235
7760,"US",56691
7851,"US",85473
7943,"US",66332
8035,"US",69861
8126,"US",61501
8217,"US",57869
8309,"US",73632
8401,"US",76323
8491,"US",62718
8582,"US",64730
8674,"US",77495
8766,"US",81428
8856,"US",63554
8947,"US",66505
9039,"US",78190
9131,"US",83047
9221,"US",67448
9312,"US",69234
9404,"US",85160
9496,"US",84995
9587,"US",71005
9678,"US",71412
9770,"US",89483
9862,"US",87405
9952,"US",73061
10043,"US",79986
10135,"US",89141
10227,"US",101167
10317,"US",85384
10408,"US",82586
10500,"US",104760
10592,"US",113860
10682,"US",92494
10773,"US",95001
10865,"US",115704
10957,"US",118840
11048,"US",107313
11139,"US",131833
11231,"US",130100
11323,"US",126702
11413,"US",113471
11504,"US",105239
11596,"US",101058
11688,"US",121127
11778,"US",97016
11869,"US",102261
11961,"US",114103
12053,"US",112908
12143,"US",94212
12234,"US",102961
12326,"US",112039
12418,"US",114017
12509,"US",101065
12600,"US",105884
12692,"US",112335
12784,"US",122725
12874,"US",104542
12965,"US",107725
13057,"US",111286
13149,"US",123608
13239,"US",109865
13330,"US",107787
13422,"US",114824
13514,"US",124677
13604,"US",108089
13695,"US",107738
13787,"US",119189
13879,"US",128066
13970,"US",99471
14061,"US",111243
14153,"US",115636
14245,"US",119158
14335,"US",105507
14426,"US",118979
14518,"US",136094
14610,"US",127535
14700,"US",105974
14791,"US",111615
14883,"US",127002
14975,"US",125264
15065,"US",101814
15156,"US",101925
15248,"US",127150
15340,"US",129520
15431,"US",105700
15522,"US",106540
