"Quarter","Beer","Tobacco","Bricks","Cement","Electricity","Gas"
-5114,284,5225,189,465,3923,5
-5023,213,5178,204,532,4436,6
-4932,227,5297,208,561,4806,7
-4840,308,5681,197,570,4418,6
-4748,262,5577,187,529,4339,5
-4658,228,5651,214,604,4811,7
-4567,236,5317,227,603,5259,7
-4475,320,6152,222,582,4735,6
-4383,272,5758,199,554,4608,5
-4293,233,5641,229,620,5196,7
-4202,237,5802,249,646,5609,8
-4110,313,6265,234,637,4977,6
-4018,261,5478,208,573,4883,5
-3928,227,5892,251,673,5744,7
-3837,250,5952,267,690,6035,8
-3745,314,6597,255,681,5514,6
-3653,286,5980,242,621,5387,6
-3562,227,6154,268,698,6211,8
-3471,260,5478,290,753,6659,8
-3379,311,6716,277,728,5983,7
-3287,295,6022,241,688,5709,6
-3197,233,6070,253,737,6458,7
-3106,257,6303,265,742,6875,8
-3014,339,6693,236,692,6162,6
-2922,279,6072,229,637,6098,6
-2832,250,6112,265,757,7075,8
-2741,270,6146,275,783,7595,8
-2649,346,6787,258,757,6891,7
-2557,294,6051,231,674,6707,6
-2467,255,6259,263,774,7874,8
-2376,278,6348,308,835,8555,9
-2284,363,6883,313,838,7503,7
-2192,313,5890,293,797,7469,6
-2101,273,6365,328,904,8829,8
-2010,300,7373,349,949,9513,9
-1918,370,6768,340,975,8415,7
-1826,331,6201,309,902,8170,6
-1736,288,6332,349,974,9503,8
-1645,306,7213,366,969,10306,9
-1553,386,6600,340,967,9077,7
-1461,335,5522,302,849,8650,6
-1371,288,6184,350,961,10180,8
-1280,308,7202,362,966,11234,10
-1188,402,6599,337,922,9836,7
-1096,353,5801,306,836,9490,6
-1006,316,6771,358,998,10991,9
-915,325,6837,359,1025,12170,10
-823,405,6685,357,971,10470,7
-731,393,6255,341,892,10087,6
-640,319,6977,380,973,11858,9
-549,327,7417,404,1047,13198,11
-457,442,7075,409,1017,11413,8
-365,383,6641,383,948,11136,7
-275,332,7154,417,1032,13040,10
-184,361,7929,454,1190,14248,13
-92,446,7362,428,1136,12759,11
0,387,6807,386,1049,12328,12
90,357,7612,428,1134,14493,18
181,374,7862,434,1229,15664,23
273,466,7126,417,1188,13781,20
365,410,7255,385,1058,13299,19
455,370,8076,433,1209,15230,23
546,379,8405,453,1199,16667,28
638,487,7974,436,1253,14484,24
730,419,6500,399,1070,13838,24
821,378,7119,461,1282,15919,34
912,393,7367,476,1303,17149,40
1004,506,7549,477,1281,15564,35
1096,458,7168,452,1148,15024,34
1186,387,7635,461,1305,17064,41
1277,427,8446,534,1342,18512,48
1369,565,7593,516,1452,16467,39
1461,465,6823,478,1184,16249,38
1551,445,7856,526,1352,18515,48
1642,450,8574,518,1316,20377,52
1734,556,8163,417,1353,17681,43
1826,500,6971,340,1121,16692,39
1916,452,8021,437,1297,19184,49
2007,435,8133,459,1318,20078,55
2099,554,8349,449,1281,18260,47
2191,510,6687,424,1109,18023,44
2282,433,7991,501,1299,20234,58
2373,453,6900,540,1341,22272,65
2465,548,7119,533,1290,19684,54
2557,486,7156,457,1101,19031,49
2647,453,8671,513,1284,21545,64
2738,457,8459,522,1321,23270,74
2830,566,7367,478,1317,20107,58
2922,515,7219,421,1122,20084,56
3012,464,7344,487,1261,22634,71
3103,431,7314,470,1312,24494,78
3195,588,7379,482,1298,21396,65
3287,503,7084,458,1205,21323,59
3377,443,7882,526,1302,23644,74
3468,448,7816,573,1377,25994,88
3560,555,6786,563,1359,22802,71
3652,513,6794,513,1232,22604,68
3743,427,8168,551,1386,24510,91
3834,473,8097,589,1440,26690,103
3926,526,7820,564,1439,24132,83
4018,548,6437,519,1282,23639,88
4108,440,7995,581,1573,26320,110
4199,469,8238,581,1533,28345,120
4291,575,8026,578,1641,24890,101
4383,493,6697,501,1337,24675,93
4473,433,7749,560,1575,27122,116
4564,480,8043,512,1475,28590,127
4656,576,7469,412,1357,25371,98
4748,475,6559,303,1086,24687,92
4838,405,7852,409,1158,27285,118
4929,435,7449,420,1279,29290,124
5021,535,6975,413,1313,26684,104
5113,453,6631,400,1166,26641,97
5204,430,6928,469,1373,29042,116
5295,417,6542,482,1456,31856,130
5387,552,6819,484,1495,28343,111
5479,464,6033,447,1251,28982,103
5569,417,7678,507,1456,30838,120
5660,423,7341,533,1631,33165,132
5752,554,6829,505,1555,29648,107
5844,459,5733,442,1375,29506,98
5934,428,7465,503,1546,32002,127
6025,429,7780,506,1568,34375,137
6117,534,7234,443,1561,31046,112
6209,481,5765,414,1332,31015,106
6299,416,7476,485,1458,33685,130
6390,440,6742,495,1501,35850,158
6482,538,7217,458,1615,33211,123
6574,474,6034,428,1418,33142,116
6665,440,7389,519,1625,34664,137
6756,447,7077,555,1770,37154,157
6848,598,6837,538,1791,35303,125
6940,467,6051,510,1621,36905,117
7030,439,7193,571,1719,37333,149
7121,446,6639,556,1972,40413,175
7213,567,7060,509,1894,36579,139
7305,485,6562,458,1565,37016,125
7395,441,7063,510,1645,39103,152
7486,429,7374,494,1658,41067,161
7578,599,6563,460,1668,37653,123
7670,464,6202,372,1343,37554,111
7760,424,6694,436,1441,38752,141
7851,436,6748,422,1444,41424,160
7943,574,6160,423,1497,38101,125
8035,443,5777,383,1289,38332,117
8126,410,5853,404,1501,39774,151
8217,420,6416,446,1539,42246,175
8309,532,5825,420,1568,38498,129
8401,433,5724,394,1450,39460,116
8491,421,6036,462,1668,41356,149
8582,410,6570,475,1648,42949,163
8674,512,5675,443,1863,40974,138
8766,449,5311,421,1468,40162,127
8856,381,5717,475,1755,41199,159
8947,423,7000,497,1962,44095,184
9039,531,6085,476,1833,41745,147
9131,426,4714,430,1626,41768,131
9221,408,3939,457,1703,43686,167
9312,416,6137,417,1733,46022,181
9404,520,4739,370,1545,42800,145
9496,409,4275,310,1526,43661,133
9587,398,5239,358,1593,44707,162
9678,398,6293,379,1706,46326,184
9770,507,5575,369,1699,43346,146
9862,432,4802,330,1511,43938,135
9952,398,5523,390,1785,45828,171
10043,406,5708,416,1826,48448,183
10135,526,4821,383,1830,46096,151
10227,428,4919,339,1719,46198,141
10317,397,5809,394,1861,47237,174
10408,403,5904,412,1956,49041,191
10500,517,4555,420,2067,46192,157
10592,435,5198,376,1737,48089,145
10682,383,5388,401,1944,48227,182
10773,424,5142,430,2005,49784,198
10865,521,5517,417,2027,47588,165
10957,421,5169,416,1835,49320,164
11048,402,4860,447,2070,50670,199
11139,414,5185,421,1898,52623,213
11231,500,4763,379,1652,49350,173
11323,451,4217,304,1554,51658,177
11413,380,4959,337,1717,51103,205
11504,416,5196,385,1679,52226,218
11596,492,4522,381,1836,50778,185
11688,428,3843,345,1729,50639,166
11778,408,4806,405,1992,51486,204
11869,406,5280,417,2030,53299,228
11961,506,4709,420,1978,51646,186
12053,435,4362,387,1831,51415,172
12143,380,5210,415,1892,51379,204
12234,421,5258,440,2227,54808,232
12326,490,4526,413,2090,52453,188
12418,435,3974,409,1963,54561,173
12509,390,5027,423,2180,54644,215
12600,412,NA,428,2307,55915,227
12692,454,NA,397,2157,52850,190
12784,416,NA,355,1980,55035,170
12874,403,NA,435,2481,55117,206
12965,408,NA,NA,2340,56043,221
13057,482,NA,NA,2265,54992,180
13149,438,NA,NA,2027,57112,171
13239,386,NA,NA,2278,57157,224
13330,405,NA,NA,2427,58400,233
13422,491,NA,NA,2451,56249,192
13514,427,NA,NA,2140,56244,187
13604,383,NA,NA,2362,55036,234
13695,394,NA,NA,2536,59806,245
13787,473,NA,NA,2562,56411,205
13879,420,NA,NA,2183,59118,194
13970,390,NA,NA,2558,56660,229
14061,410,NA,NA,2612,64067,249
14153,488,NA,NA,2373,59045,203
14245,415,NA,NA,1963,58368,196
14335,398,NA,NA,2160,57471,238
14426,419,NA,NA,2325,58394,252
14518,488,NA,NA,2273,57336,210
14610,414,NA,NA,1904,58309,205
14700,374,NA,NA,2401,58041,236
